goal,gender,age,height_cm,weight_kg,bmi,diet_type,activity_level,equipment,frequency,region,persona
build_muscle,Male,61,174.8,80.3,26.3,vegetarian,light,dumbbells,5,western,1
lose_weight,Female,48,160.9,48.1,18.6,vegetarian,moderate,full_gym,4,indian,0
lose_weight,Male,46,167.4,75.4,26.9,vegan,sedentary,full_gym,5,indian,0
stay_active,Male,63,162.4,52.3,19.8,eggetarian,very_active,full_gym,4,indian,7
lose_weight,Female,36,167.0,56.2,20.2,vegetarian,sedentary,dumbbells,3,indian,8
improve_stamina,Male,40,178.2,93.5,29.4,standard,light,full_gym,3,global,7
lose_weight,Male,62,175.8,72.2,23.4,vegetarian,very_active,dumbbells,4,western,1
lose_weight,Male,39,181.0,74.6,22.8,standard,very_active,full_gym,4,indian,0
build_muscle,Male,24,157.0,64.6,26.2,standard,very_active,full_gym,5,indian,4
improve_stamina,Male,50,166.8,78.9,28.4,jain,very_active,full_gym,4,indian,7
improve_stamina,Female,54,169.3,52.8,18.4,standard,moderate,dumbbells,6,western,7
lose_weight,Female,33,149.8,51.4,22.9,eggetarian,active,full_gym,6,indian,0
build_muscle,Female,60,157.8,64.9,26.1,standard,very_active,dumbbells,3,western,1
build_muscle,Female,29,163.3,49.8,18.7,vegan,moderate,full_gym,4,indian,2
stay_active,Female,31,165.5,73.1,26.7,standard,sedentary,no_equipment,4,indian,8
build_muscle,Male,32,171.8,82.0,27.8,jain,light,dumbbells,5,global,1
build_muscle,Male,59,160.4,71.2,27.7,eggetarian,moderate,dumbbells,4,indian,1
lose_weight,Male,22,176.9,58.8,18.8,standard,active,dumbbells,5,indian,1
lose_weight,Male,17,169.8,60.9,21.1,standard,sedentary,dumbbells,3,indian,1
improve_stamina,Female,42,156.1,60.4,24.8,eggetarian,sedentary,no_equipment,5,western,7
build_muscle,Male,25,171.8,40.0,13.6,standard,moderate,full_gym,3,indian,2
lose_weight,Female,56,182.6,70.3,21.1,vegetarian,moderate,no_equipment,3,indian,8
lose_weight,Male,28,168.8,56.9,20.0,eggetarian,moderate,full_gym,5,indian,0
build_muscle,Male,35,186.2,79.5,22.9,standard,light,dumbbells,4,indian,1
lose_weight,Male,63,162.8,79.9,30.1,standard,light,no_equipment,3,indian,6
build_muscle,Male,56,174.4,60.4,19.9,eggetarian,sedentary,dumbbells,6,global,1
improve_stamina,Female,26,164.5,47.2,17.4,vegetarian,moderate,no_equipment,5,indian,0
lose_weight,Male,31,161.0,72.7,28.0,vegetarian,light,dumbbells,3,indian,6
lose_weight,Female,18,155.0,53.8,22.4,eggetarian,light,full_gym,3,western,0
lose_weight,Female,37,145.0,49.2,23.4,eggetarian,active,full_gym,3,western,0
build_muscle,Female,24,161.6,56.3,21.6,eggetarian,sedentary,full_gym,3,indian,2
build_muscle,Male,50,176.3,101.1,32.5,eggetarian,light,full_gym,4,indian,2
lose_weight,Male,28,174.1,95.5,31.5,eggetarian,light,dumbbells,6,indian,6
lose_weight,Male,60,162.2,88.0,33.4,jain,moderate,dumbbells,5,western,6
lose_weight,Male,28,180.6,60.0,18.4,vegetarian,active,full_gym,4,western,0
stay_active,Male,52,171.8,58.3,19.8,standard,light,full_gym,5,indian,7
lose_weight,Female,35,155.6,44.3,18.3,eggetarian,moderate,dumbbells,4,global,8
lose_weight,Male,37,193.6,73.8,19.7,eggetarian,very_active,dumbbells,5,global,1
build_muscle,Female,23,174.2,72.8,24.0,vegan,very_active,full_gym,4,indian,3
build_muscle,Other,52,168.5,78.1,27.5,standard,sedentary,dumbbells,5,indian,1
lose_weight,Male,31,180.6,73.0,22.4,standard,active,dumbbells,3,indian,1
improve_stamina,Male,24,152.4,71.2,30.7,standard,moderate,dumbbells,3,western,0
lose_weight,Male,61,171.8,56.5,19.1,eggetarian,moderate,dumbbells,3,western,1
lose_weight,Male,57,169.4,64.3,22.4,vegetarian,moderate,no_equipment,5,indian,0
lose_weight,Female,32,169.7,40.0,13.9,standard,active,full_gym,4,indian,0
lose_weight,Female,31,167.5,72.0,25.7,standard,light,full_gym,3,indian,0
lose_weight,Female,24,152.4,65.8,28.3,standard,active,full_gym,5,indian,6
lose_weight,Female,25,165.2,54.6,20.0,standard,light,no_equipment,3,indian,8
lose_weight,Male,56,169.8,86.7,30.1,standard,moderate,no_equipment,4,indian,6
stay_active,Female,32,162.5,56.9,21.5,standard,active,dumbbells,5,western,8
build_muscle,Male,17,176.5,48.1,15.4,standard,sedentary,full_gym,6,indian,2
lose_weight,Male,27,175.6,58.3,18.9,vegetarian,moderate,full_gym,3,indian,0
build_muscle,Male,57,176.0,85.8,27.7,vegetarian,light,full_gym,4,indian,2
lose_weight,Female,18,164.6,50.0,18.5,vegetarian,light,dumbbells,3,indian,8
build_muscle,Female,28,154.4,87.0,36.5,eggetarian,active,no_equipment,3,indian,0
lose_weight,Female,18,178.9,56.9,17.8,vegan,sedentary,no_equipment,5,indian,8
stay_active,Female,32,166.0,51.8,18.8,vegetarian,light,dumbbells,4,indian,8
lose_weight,Female,22,160.5,64.8,25.2,vegetarian,active,full_gym,5,western,0
lose_weight,Female,53,160.5,40.0,15.5,eggetarian,very_active,no_equipment,5,global,8
improve_stamina,Male,36,165.4,86.7,31.7,eggetarian,very_active,dumbbells,5,western,0
lose_weight,Male,51,174.8,65.5,21.4,standard,sedentary,full_gym,4,western,0
lose_weight,Male,28,185.6,74.8,21.7,vegetarian,active,dumbbells,3,indian,1
improve_stamina,Female,16,161.6,69.7,26.7,jain,very_active,dumbbells,5,indian,0
build_muscle,Male,39,170.4,92.3,31.8,vegan,light,no_equipment,4,indian,0
build_muscle,Male,26,173.7,75.3,25.0,vegetarian,light,full_gym,5,indian,2
build_muscle,Male,55,173.6,81.4,27.0,standard,very_active,no_equipment,6,indian,0
lose_weight,Female,34,156.5,52.2,21.3,standard,active,dumbbells,3,global,8
build_muscle,Female,59,170.9,51.7,17.7,standard,active,no_equipment,3,indian,0
improve_stamina,Female,37,156.7,53.7,21.9,eggetarian,active,full_gym,5,indian,0
stay_active,Male,31,163.0,61.8,23.3,vegetarian,sedentary,no_equipment,5,indian,5
stay_active,Female,33,178.7,52.2,16.3,standard,moderate,dumbbells,3,global,8
build_muscle,Female,40,166.7,63.6,22.9,vegetarian,moderate,full_gym,3,global,2
lose_weight,Female,17,159.8,59.6,23.3,vegan,light,full_gym,5,indian,0
build_muscle,Male,27,175.5,72.7,23.6,standard,moderate,dumbbells,5,indian,1
build_muscle,Female,35,160.3,61.1,23.8,eggetarian,sedentary,full_gym,5,indian,2
lose_weight,Male,43,175.1,62.2,20.3,vegetarian,sedentary,full_gym,6,global,0
build_muscle,Female,22,172.0,57.3,19.4,vegetarian,light,full_gym,4,indian,2
lose_weight,Male,48,165.8,81.9,29.8,vegetarian,moderate,no_equipment,6,indian,6
build_muscle,Male,60,188.8,57.0,16.0,standard,very_active,dumbbells,5,indian,1
improve_stamina,Male,17,164.0,92.2,34.3,vegetarian,very_active,no_equipment,5,western,0
lose_weight,Female,52,165.5,72.6,26.5,standard,very_active,dumbbells,5,indian,8
lose_weight,Male,21,168.6,97.2,34.2,vegetarian,sedentary,dumbbells,3,western,6
build_muscle,Male,32,170.4,40.0,13.8,standard,moderate,full_gym,5,indian,2
build_muscle,Male,20,174.0,55.8,18.4,vegan,moderate,no_equipment,4,indian,0
build_muscle,Male,29,166.0,68.1,24.7,vegetarian,active,no_equipment,3,indian,0
stay_active,Female,43,161.4,50.9,19.5,eggetarian,active,full_gym,4,western,7
build_muscle,Male,56,184.5,74.8,22.0,vegetarian,moderate,full_gym,3,indian,2
improve_stamina,Male,23,171.4,77.9,26.5,standard,light,full_gym,5,indian,0
lose_weight,Female,43,161.3,59.3,22.8,vegetarian,sedentary,no_equipment,3,indian,8
lose_weight,Female,44,157.6,75.3,30.3,standard,very_active,no_equipment,5,indian,6
improve_stamina,Male,44,182.6,71.5,21.4,vegetarian,light,dumbbells,6,indian,7
stay_active,Female,39,156.6,62.4,25.4,eggetarian,light,no_equipment,6,indian,8
build_muscle,Female,33,164.8,53.9,19.8,vegetarian,light,dumbbells,3,indian,1
stay_active,Other,26,156.3,78.9,32.3,standard,very_active,dumbbells,3,indian,0
build_muscle,Male,34,182.0,65.1,19.7,standard,moderate,full_gym,3,indian,2
stay_active,Male,44,171.4,101.1,34.4,jain,moderate,full_gym,3,indian,7
lose_weight,Male,18,179.8,72.7,22.5,standard,moderate,full_gym,4,indian,0
build_muscle,Male,22,181.3,76.9,23.4,vegetarian,moderate,full_gym,3,indian,2
improve_stamina,Male,43,178.9,57.3,17.9,standard,moderate,dumbbells,5,indian,7
build_muscle,Female,52,162.1,62.0,23.6,vegetarian,active,dumbbells,3,global,1
build_muscle,Female,41,165.5,45.4,16.6,vegetarian,sedentary,full_gym,6,indian,2
build_muscle,Other,31,170.9,70.1,24.0,vegan,active,dumbbells,4,western,1
stay_active,Female,46,158.9,73.1,29.0,standard,moderate,no_equipment,4,indian,7
lose_weight,Male,42,166.1,41.9,15.2,standard,light,no_equipment,4,western,0
build_muscle,Female,32,167.9,54.4,19.3,vegetarian,sedentary,dumbbells,4,indian,1
stay_active,Female,35,170.7,64.2,22.0,vegan,very_active,no_equipment,3,indian,8
lose_weight,Female,57,161.7,57.3,21.9,eggetarian,light,no_equipment,4,indian,8
lose_weight,Male,28,175.4,91.5,29.7,vegetarian,active,no_equipment,4,indian,6
stay_active,Male,42,174.8,53.3,17.4,standard,moderate,no_equipment,6,indian,7
improve_stamina,Female,35,161.9,53.3,20.3,vegetarian,active,full_gym,3,indian,0
stay_active,Female,31,152.3,50.4,21.7,standard,active,dumbbells,5,indian,8
stay_active,Female,32,152.7,61.4,26.3,eggetarian,light,no_equipment,3,indian,8
build_muscle,Female,35,157.1,42.9,17.4,vegetarian,very_active,no_equipment,5,indian,0
lose_weight,Male,43,178.6,94.8,29.7,standard,sedentary,full_gym,3,indian,6
lose_weight,Male,29,174.3,61.2,20.1,jain,light,dumbbells,5,western,1
improve_stamina,Female,28,169.6,44.7,15.5,vegetarian,moderate,full_gym,4,indian,0
lose_weight,Female,61,164.8,47.9,17.6,vegetarian,sedentary,dumbbells,5,indian,8
improve_stamina,Female,48,153.4,54.5,23.2,eggetarian,moderate,full_gym,4,indian,7
stay_active,Male,45,175.1,69.9,22.8,vegan,sedentary,dumbbells,3,indian,7
build_muscle,Male,60,159.3,79.1,31.2,vegetarian,moderate,dumbbells,6,indian,1
build_muscle,Other,53,168.7,63.8,22.4,eggetarian,active,full_gym,5,indian,0
lose_weight,Male,31,178.3,59.4,18.7,eggetarian,moderate,full_gym,3,global,0
lose_weight,Female,33,170.7,64.1,22.0,vegetarian,light,no_equipment,4,indian,8
improve_stamina,Male,22,174.5,79.4,26.1,vegetarian,light,dumbbells,4,indian,0
lose_weight,Female,25,171.7,71.4,24.2,standard,active,dumbbells,3,global,8
build_muscle,Male,42,169.1,67.8,23.7,standard,moderate,full_gym,5,indian,2
lose_weight,Male,39,153.6,85.1,36.1,eggetarian,moderate,no_equipment,4,indian,6
lose_weight,Female,44,157.0,40.0,16.2,standard,active,no_equipment,4,indian,8
lose_weight,Male,26,173.9,80.1,26.5,vegetarian,moderate,full_gym,3,indian,0
build_muscle,Male,28,172.6,96.0,32.2,standard,moderate,full_gym,5,global,2
lose_weight,Female,28,156.8,78.1,31.8,eggetarian,sedentary,full_gym,4,indian,6
lose_weight,Female,56,170.1,75.2,26.0,vegetarian,light,full_gym,4,western,0
lose_weight,Male,19,171.1,74.6,25.5,standard,very_active,full_gym,4,indian,0
lose_weight,Male,47,165.6,79.5,29.0,standard,moderate,full_gym,3,indian,6
build_muscle,Male,62,182.0,61.4,18.5,standard,light,no_equipment,4,western,0
improve_stamina,Female,34,156.5,68.2,27.8,vegetarian,moderate,full_gym,5,western,0
build_muscle,Male,29,165.6,44.5,16.2,vegetarian,very_active,no_equipment,3,indian,0
improve_stamina,Female,40,167.0,51.6,18.5,eggetarian,very_active,no_equipment,5,indian,7
lose_weight,Female,44,165.6,70.9,25.9,vegetarian,very_active,full_gym,3,indian,0
build_muscle,Male,44,169.8,80.2,27.8,eggetarian,active,dumbbells,4,indian,1
build_muscle,Male,36,180.0,77.3,23.9,vegan,light,dumbbells,3,indian,1
stay_active,Female,64,159.5,48.6,19.1,standard,moderate,full_gym,4,indian,7
stay_active,Male,48,172.9,72.2,24.2,standard,active,no_equipment,6,indian,7
improve_stamina,Male,22,179.8,66.8,20.7,standard,moderate,full_gym,5,indian,0
stay_active,Male,31,161.8,89.7,34.3,standard,moderate,dumbbells,4,indian,0
build_muscle,Female,36,175.4,71.3,23.2,jain,light,full_gym,4,indian,2
stay_active,Male,29,179.6,85.4,26.5,vegetarian,moderate,no_equipment,4,indian,0
improve_stamina,Male,25,186.1,80.8,23.3,eggetarian,moderate,dumbbells,4,western,0
build_muscle,Male,31,171.0,87.2,29.8,vegetarian,light,dumbbells,4,indian,1
lose_weight,Male,51,175.1,47.2,15.4,eggetarian,light,dumbbells,5,western,1
lose_weight,Male,49,164.6,40.0,14.8,standard,active,dumbbells,4,western,1
stay_active,Female,23,154.0,61.3,25.8,vegetarian,very_active,no_equipment,3,indian,8
lose_weight,Male,26,172.2,77.1,26.0,vegan,moderate,full_gym,3,indian,0
lose_weight,Male,18,154.6,84.4,35.3,eggetarian,sedentary,full_gym,6,indian,6
stay_active,Female,18,150.1,52.2,23.2,eggetarian,light,full_gym,3,indian,5
lose_weight,Male,62,161.1,88.3,34.0,standard,light,no_equipment,5,indian,6
lose_weight,Female,21,164.0,65.6,24.4,vegan,moderate,no_equipment,4,indian,8
build_muscle,Male,60,177.5,84.7,26.9,vegetarian,moderate,dumbbells,3,indian,1
lose_weight,Female,32,156.5,49.2,20.1,standard,active,dumbbells,3,global,8
improve_stamina,Female,54,159.0,40.8,16.1,vegan,sedentary,no_equipment,4,global,7
stay_active,Female,33,163.1,49.7,18.7,standard,active,full_gym,3,indian,0
stay_active,Male,48,189.0,87.1,24.4,standard,very_active,dumbbells,3,western,7
lose_weight,Female,28,158.7,53.6,21.3,eggetarian,moderate,no_equipment,4,indian,8
improve_stamina,Male,55,174.2,91.8,30.3,vegetarian,very_active,full_gym,4,indian,7
stay_active,Female,31,169.3,86.5,30.2,eggetarian,sedentary,full_gym,3,global,5
build_muscle,Female,35,154.0,70.5,29.7,jain,moderate,dumbbells,4,western,1
lose_weight,Male,24,180.7,79.7,24.4,standard,sedentary,dumbbells,4,western,1
build_muscle,Female,39,168.0,53.3,18.9,eggetarian,moderate,no_equipment,5,indian,0
lose_weight,Female,19,163.0,55.2,20.8,eggetarian,light,dumbbells,5,indian,8
improve_stamina,Male,25,178.1,74.5,23.5,vegan,active,full_gym,3,global,0
build_muscle,Female,36,160.1,47.3,18.5,eggetarian,moderate,dumbbells,6,indian,1
lose_weight,Male,17,176.7,74.7,23.9,eggetarian,light,full_gym,5,western,0
stay_active,Male,62,166.5,87.2,31.5,standard,active,no_equipment,5,indian,7
lose_weight,Male,26,173.8,67.8,22.4,vegetarian,light,no_equipment,5,indian,0
improve_stamina,Female,53,167.7,76.8,27.3,standard,sedentary,no_equipment,5,indian,7
lose_weight,Female,64,161.5,70.8,27.1,eggetarian,moderate,no_equipment,3,global,8
build_muscle,Female,51,162.3,69.0,26.2,vegetarian,light,dumbbells,5,indian,1
build_muscle,Female,32,172.3,72.5,24.4,vegan,light,dumbbells,3,indian,1
stay_active,Male,40,175.0,79.7,26.0,vegetarian,moderate,no_equipment,3,indian,7
improve_stamina,Male,18,170.6,62.3,21.4,standard,moderate,no_equipment,4,indian,0
stay_active,Male,34,171.5,61.5,20.9,vegetarian,moderate,no_equipment,6,indian,0
build_muscle,Male,39,171.4,60.9,20.7,eggetarian,moderate,full_gym,6,indian,2
improve_stamina,Male,30,159.6,49.8,19.6,vegan,moderate,dumbbells,5,global,0
lose_weight,Female,16,157.6,59.6,24.0,standard,moderate,full_gym,3,indian,0
stay_active,Male,30,172.3,58.2,19.6,standard,sedentary,dumbbells,6,western,5
build_muscle,Female,30,160.3,58.2,22.6,eggetarian,moderate,full_gym,5,indian,2
lose_weight,Female,19,153.0,59.2,25.3,vegetarian,light,dumbbells,4,indian,8
build_muscle,Male,36,184.1,59.9,17.7,eggetarian,moderate,dumbbells,5,indian,1
stay_active,Male,48,185.1,68.5,20.0,eggetarian,very_active,dumbbells,4,indian,7
build_muscle,Male,38,182.3,87.8,26.4,standard,moderate,no_equipment,5,indian,0
lose_weight,Male,17,184.5,91.5,26.9,standard,moderate,dumbbells,5,indian,1
build_muscle,Male,25,173.8,75.9,25.1,standard,moderate,no_equipment,4,global,0
lose_weight,Male,17,173.3,66.8,22.2,standard,active,dumbbells,3,global,1
build_muscle,Male,61,179.6,67.3,20.9,jain,very_active,no_equipment,6,indian,0
build_muscle,Male,29,164.4,74.0,27.4,vegetarian,active,full_gym,4,indian,3
lose_weight,Male,25,172.7,65.4,21.9,eggetarian,moderate,dumbbells,4,indian,1
improve_stamina,Male,39,153.8,68.0,28.7,eggetarian,moderate,dumbbells,4,indian,0
lose_weight,Male,17,195.2,51.0,13.4,eggetarian,very_active,full_gym,4,global,0
lose_weight,Male,48,176.2,67.2,21.6,eggetarian,very_active,no_equipment,4,global,0
lose_weight,Male,54,159.8,89.7,35.1,standard,active,dumbbells,4,indian,6
stay_active,Female,54,160.6,61.1,23.7,vegan,moderate,full_gym,3,indian,7
build_muscle,Female,32,165.2,40.0,14.7,eggetarian,sedentary,dumbbells,5,western,1
stay_active,Female,22,154.2,42.8,18.0,standard,light,full_gym,3,global,5
stay_active,Female,51,166.1,63.7,23.1,standard,active,full_gym,5,western,7
lose_weight,Female,38,160.8,48.3,18.7,vegetarian,moderate,no_equipment,4,indian,8
lose_weight,Female,60,147.7,60.3,27.6,vegetarian,active,full_gym,3,indian,6
stay_active,Male,28,167.8,58.8,20.9,eggetarian,moderate,full_gym,4,indian,0
build_muscle,Male,40,174.5,75.9,24.9,vegetarian,sedentary,full_gym,4,indian,2
lose_weight,Female,39,162.5,52.6,19.9,vegan,active,full_gym,4,indian,0
lose_weight,Male,47,173.8,47.2,15.6,standard,moderate,no_equipment,5,indian,0
stay_active,Male,34,171.4,74.2,25.3,standard,light,full_gym,4,indian,5
stay_active,Male,27,170.2,84.2,29.1,eggetarian,moderate,full_gym,4,global,0
build_muscle,Male,42,154.5,70.1,29.4,vegan,sedentary,no_equipment,5,western,0
lose_weight,Other,46,168.8,67.4,23.7,standard,active,dumbbells,3,indian,1
lose_weight,Other,34,155.0,40.0,16.6,standard,light,no_equipment,5,indian,0
build_muscle,Female,53,165.4,45.5,16.6,eggetarian,light,full_gym,4,indian,2
build_muscle,Male,40,167.0,87.8,31.5,standard,active,no_equipment,5,indian,0
lose_weight,Male,18,174.3,58.0,19.1,eggetarian,sedentary,dumbbells,4,indian,1
build_muscle,Male,31,153.5,69.3,29.4,vegetarian,sedentary,dumbbells,6,indian,1
build_muscle,Female,28,166.0,65.9,23.9,eggetarian,sedentary,no_equipment,5,western,0
lose_weight,Male,27,174.8,93.7,30.7,standard,sedentary,no_equipment,4,global,6
stay_active,Female,17,162.2,60.7,23.1,vegetarian,light,dumbbells,3,indian,8
lose_weight,Male,33,172.6,95.3,32.0,eggetarian,very_active,full_gym,6,indian,6
lose_weight,Other,19,156.7,57.6,23.5,standard,moderate,full_gym,4,indian,0
lose_weight,Female,39,172.1,46.8,15.8,standard,very_active,no_equipment,4,global,8
lose_weight,Female,18,155.2,81.0,33.6,eggetarian,moderate,no_equipment,4,western,6
build_muscle,Male,27,172.6,91.2,30.6,vegetarian,sedentary,no_equipment,4,indian,0
improve_stamina,Male,52,170.6,80.2,27.6,standard,very_active,full_gym,5,global,7
lose_weight,Female,26,175.2,43.0,14.0,vegetarian,very_active,no_equipment,5,global,8
stay_active,Female,61,164.0,58.2,21.6,standard,moderate,full_gym,3,indian,7
build_muscle,Female,23,171.4,61.9,21.1,standard,sedentary,dumbbells,6,indian,1
stay_active,Female,25,167.2,53.0,19.0,standard,moderate,no_equipment,4,western,8
improve_stamina,Male,27,180.0,69.5,21.5,standard,active,dumbbells,4,western,0
stay_active,Female,61,147.9,69.1,31.6,standard,moderate,dumbbells,5,indian,7
lose_weight,Male,58,174.1,58.6,19.3,standard,sedentary,no_equipment,5,indian,0
build_muscle,Other,37,185.8,46.2,13.4,vegan,light,dumbbells,5,global,1
build_muscle,Female,31,160.1,74.6,29.1,standard,moderate,no_equipment,4,global,0
stay_active,Male,19,153.2,74.8,31.9,eggetarian,light,full_gym,5,western,5
build_muscle,Male,55,159.8,76.5,30.0,standard,sedentary,full_gym,3,indian,2
lose_weight,Female,18,153.4,46.1,19.6,standard,active,full_gym,3,western,0
lose_weight,Female,53,148.9,50.5,22.8,vegan,active,no_equipment,4,global,8
build_muscle,Female,63,156.8,73.6,29.9,vegetarian,sedentary,dumbbells,5,indian,1
lose_weight,Female,37,165.6,41.5,15.1,vegan,active,no_equipment,4,indian,8
stay_active,Male,59,178.3,84.4,26.5,vegetarian,very_active,full_gym,5,global,7
lose_weight,Male,49,169.5,56.6,19.7,eggetarian,active,full_gym,5,indian,0
stay_active,Female,33,153.4,53.7,22.8,vegan,light,no_equipment,5,indian,8
stay_active,Female,62,150.4,54.1,23.9,jain,moderate,full_gym,3,indian,7
build_muscle,Female,54,164.4,52.2,19.3,standard,sedentary,full_gym,3,indian,2
lose_weight,Male,54,182.5,80.6,24.2,vegetarian,moderate,full_gym,6,indian,0
lose_weight,Female,18,148.6,62.5,28.3,standard,moderate,dumbbells,5,indian,8
build_muscle,Male,48,169.7,48.1,16.7,standard,sedentary,dumbbells,6,indian,1
stay_active,Female,39,158.5,43.4,17.3,standard,light,no_equipment,4,global,8
stay_active,Male,34,172.2,59.1,19.9,vegan,moderate,dumbbells,4,indian,0
build_muscle,Male,33,166.6,57.9,20.9,eggetarian,moderate,no_equipment,3,global,0
build_muscle,Male,20,187.4,90.8,25.9,standard,sedentary,full_gym,3,western,2
build_muscle,Female,38,153.1,47.9,20.4,eggetarian,very_active,no_equipment,3,global,0
stay_active,Female,55,163.7,43.4,16.2,vegetarian,moderate,no_equipment,4,indian,7
lose_weight,Male,61,183.0,67.3,20.1,vegetarian,very_active,no_equipment,3,indian,0
lose_weight,Male,45,172.9,83.6,28.0,vegetarian,active,no_equipment,4,indian,6
lose_weight,Female,26,157.5,60.9,24.6,eggetarian,active,no_equipment,3,indian,8
stay_active,Male,26,173.5,62.0,20.6,vegetarian,moderate,no_equipment,6,western,0
lose_weight,Female,51,161.5,66.2,25.4,vegetarian,active,full_gym,4,indian,0
lose_weight,Male,58,182.6,105.1,31.5,standard,active,full_gym,5,indian,6
build_muscle,Female,26,156.8,76.9,31.3,vegetarian,very_active,no_equipment,5,indian,0
lose_weight,Male,17,174.2,45.1,14.9,vegetarian,very_active,no_equipment,5,indian,0
lose_weight,Female,27,159.0,54.9,21.7,standard,moderate,full_gym,5,western,0
build_muscle,Male,27,165.3,60.4,22.1,vegetarian,light,dumbbells,5,western,1
build_muscle,Male,58,173.0,76.6,25.6,vegetarian,very_active,full_gym,3,indian,0
build_muscle,Female,34,163.6,54.6,20.4,eggetarian,active,full_gym,4,indian,3
lose_weight,Male,41,178.4,59.1,18.6,standard,light,no_equipment,5,western,0
lose_weight,Female,23,156.0,44.2,18.2,standard,moderate,dumbbells,3,indian,8
build_muscle,Male,26,182.2,101.2,30.5,vegetarian,moderate,full_gym,5,indian,2
build_muscle,Female,31,163.3,68.2,25.6,standard,moderate,no_equipment,4,indian,0
lose_weight,Female,25,167.0,55.4,19.9,vegetarian,moderate,no_equipment,5,indian,8
lose_weight,Male,36,185.7,86.0,24.9,standard,active,dumbbells,5,western,1
build_muscle,Female,33,168.7,51.1,18.0,standard,active,full_gym,4,indian,3
lose_weight,Male,49,173.7,72.8,24.1,eggetarian,light,dumbbells,6,indian,1
build_muscle,Female,19,169.4,52.6,18.3,eggetarian,moderate,dumbbells,3,indian,1
stay_active,Male,19,169.2,41.1,14.4,vegetarian,active,no_equipment,3,western,0
build_muscle,Male,16,178.8,81.4,25.5,standard,active,dumbbells,5,western,1
build_muscle,Female,34,163.9,48.5,18.1,vegan,light,no_equipment,5,western,0
improve_stamina,Female,46,172.9,69.8,23.3,vegetarian,moderate,no_equipment,4,western,7
lose_weight,Male,25,165.3,61.0,22.3,vegetarian,very_active,dumbbells,3,indian,1
